
v_akpub_adm_group: ['nId', 'wstrName', 'nParentId', 'nVServer']
(0, '受管理设备', 2, None)
(1, '未分配的设备', None, None)
(4, 'WORKGROUP', 1, None)
(5, 'CCYY', 1, None)
(6, 'MSHOME', 1, None)
(7, '网络反攻击阻断组', 0, None)
(8, '住院部203网段', 0, None)
(9, '住院部202网段', 0, None)
(10, '住院部201网段', 0, None)
(11, '后勤204网段', 0, None)
(12, '检验科', 0, None)
(13, '物理服务器', 0, None)
(14, '206网段', 0, None)
(15, 'ts', 0, None)

v_akpub_host: ['nId', 'strName', 'wstrDisplayName', 'bIsSlaveServer', 'bHasUpadateAgent', 'wstrDnsName', 'wstrDnsDomain', 'wstrWinName', 'wstrWinDomain', 'tmLastVisible', 'tmLastInfoUpdate', 'tmLastUpdate', 'tmLastNagentConnected', 'tmLastFullScan', 'nGroup', 'nStatus', 'nVersionMajor', 'nVersionMinor', 'nComputerType', 'nPlatformType', 'nIp', 'nConnectionIp', 'bKeepConnection', 'nVirusCount', 'nUncured', 'nLastRtpState', 'nLastRtpErrorCode', 'wstrComment', 'nVServer', 'nSpMajor', 'nSpMinor', 'nProcType', 'binUserOwner', 'bCustomUserOwner', 'qwNagentBuild', 'bWuaSwitched', 'tmSystemLastStarted', 'bRebootRequired', 'nRebootRequestReason', 'tmRebootRequestTime', 'nEncryptionStatus', 'tmLastUaSearch', 'nVisibilityTimeout', 'bVmVdi', 'nVmType', 'nPkgMgrType']
(1, 'e8c425d0-3939-46ba-aee5-15fb67b99302', 'PC1', False, False, 'pc1', '', 'PC1', 'WORKGROUP', datetime.datetime(2019, 12, 26, 6, 34, 22), datetime.datetime(2019, 12, 26, 6, 34, 22), datetime.datetime(2019, 12, 26, 4, 50, 10), datetime.datetime(2019, 12, 26, 6, 34, 22), datetime.datetime(2019, 12, 20, 11, 0, 54), 0, 29, 6, 1, 69639, 2, 2130706433, 2130706433, True, 1, 0, 4, -1, None, 0, 1, 0, 2, None, False, 2814766969454592, False, datetime.datetime(2019, 12, 26, 6, 18, 23), False, 0, None, None, datetime.datetime(2019, 12, 26, 0, 0), 1440, False, 3, 0)
(2, '0d0cfdee-9ad7-4a6d-8956-2b717d9248f0', '0d0cfdee-9ad7-4a6d-8956-2b717d9248f0', True, False, '192.0.0.44', '', '192.0.0.44', '', datetime.datetime(2019, 12, 26, 4, 16, 12, 400000), datetime.datetime(2019, 12, 26, 4, 16, 12, 400000), None, None, None, 3, 0, None, None, None, None, None, 0, False, 0, 0, 0, 0, None, 0, 0, 0, 0, None, False, 0, False, None, False, 0, None, None, None, 1440, False, 0, 0)
(14, '523ebfe7-9e21-45aa-9a94-cff54a0b4e0f', 'WJZXSERVER', False, False, '', '', 'WJZXSERVER', 'WORKGROUP', datetime.datetime(2019, 12, 26, 4, 16, 12, 400000), datetime.datetime(2019, 12, 26, 4, 16, 12, 400000), None, None, None, 4, 1, 0, 0, 0, 2, 3221225536, 0, False, 0, 0, 0, 0, 'WJZXServer', 0, 0, 0, 0, None, False, 0, False, None, False, 0, None, None, None, 1440, False, 0, 0)
(16, '5e8756e2-a6d0-415c-b59c-0dc50798f3b0', 'CONSOLE2', False, False, '', '', 'CONSOLE2', 'WORKGROUP', datetime.datetime(2019, 12, 26, 4, 16, 12, 400000), datetime.datetime(2019, 12, 26, 4, 16, 12, 400000), None, None, None, 4, 1, 0, 0, 0, 2, 3221225565, 0, False, 0, 0, 0, 0, 'Console2', 0, 0, 0, 0, None, False, 0, False, None, False, 0, None, None, None, 1440, False, 0, 0)
(17, '0588cc75-0cb8-46d2-9017-369a7cad562a', '综合科136', False, False, '', '', '综合科136', 'WORKGROUP', datetime.datetime(2019, 12, 26, 4, 16, 12, 400000), datetime.datetime(2019, 12, 26, 4, 16, 12, 400000), None, None, None, 4, 0, 0, 0, 0, 2, None, 0, False, 0, 0, 0, 0, '', 0, 0, 0, 0, None, False, 0, False, None, False, 0, None, None, None, 1440, False, 0, 0)
(18, '86c7d5b7-8361-419e-9ada-c2097ed038d3', 'LIBAO-AECEA602C', False, False, '', '', 'LIBAO-AECEA602C', 'WORKGROUP', datetime.datetime(2019, 12, 26, 4, 16, 12, 400000), datetime.datetime(2019, 12, 26, 4, 16, 12, 400000), None, None, None, 4, 0, 0, 0, 0, 2, None, 0, False, 0, 0, 0, 0, '', 0, 0, 0, 0, None, False, 0, False, None, False, 0, None, None, None, 1440, False, 0, 0)
(20, '1f0efa5f-0e83-4928-87b9-d78474c5ee76', 'DENG', False, False, '', '', 'DENG', 'WORKGROUP', datetime.datetime(2019, 12, 26, 4, 16, 12, 400000), datetime.datetime(2019, 12, 26, 4, 16, 12, 400000), None, None, None, 4, 1, 0, 0, 0, 2, 3221225555, 0, False, 0, 0, 0, 0, '', 0, 0, 0, 0, None, False, 0, False, None, False, 0, None, None, None, 1440, False, 0, 0)
(21, '4e7e08ae-05fb-4bc2-9819-89ede7fb8ed5', 'SC-201601081156', False, False, '', '', 'SC-201601081156', 'WORKGROUP', datetime.datetime(2019, 12, 26, 4, 16, 12, 400000), datetime.datetime(2019, 12, 26, 4, 16, 12, 400000), None, None, None, 4, 1, 0, 0, 0, 2, 3221225642, 0, False, 0, 0, 0, 0, '', 0, 0, 0, 0, None, False, 0, False, None, False, 0, None, None, None, 1440, False, 0, 0)
(22, 'b86dd690-2d95-439b-9543-347cecd14bc4', 'RADIS3019', False, False, '', '', 'RADIS3019', 'WORKGROUP', datetime.datetime(2019, 12, 26, 4, 16, 12, 400000), datetime.datetime(2019, 12, 26, 4, 16, 12, 400000), None, None, None, 4, 1, 0, 0, 0, 2, 3221225634, 0, False, 0, 0, 0, 0, '', 0, 0, 0, 0, None, False, 0, False, None, False, 0, None, None, None, 1440, False, 0, 0)
(23, '05a214b7-3149-4725-8e57-1f4a34f179d3', 'XXK80', False, False, '', '', 'XXK80', 'WORKGROUP', datetime.datetime(2019, 12, 26, 4, 16, 12, 400000), datetime.datetime(2019, 12, 26, 4, 16, 12, 400000), None, None, None, 4, 0, 0, 0, 0, 2, 3221225552, 0, False, 0, 0, 0, 0, 'xxk80', 0, 0, 0, 0, None, False, 0, False, None, False, 0, None, None, None, 1440, False, 0, 0)
(24, '7394802f-dfe6-4aae-8cd5-b617dac5bfa8', 'SMPST1', False, False, '', '', 'SMPST1', 'WORKGROUP', datetime.datetime(2019, 12, 26, 4, 16, 12, 400000), datetime.datetime(2019, 12, 26, 4, 16, 12, 400000), None, None, None, 4, 1, 0, 0, 0, 2, 3221225569, 0, False, 0, 0, 0, 0, 'SMPST2', 0, 0, 0, 0, None, False, 0, False, None, False, 0, None, None, None, 1440, False, 0, 0)
(26, '937bd4a6-c30e-4e48-ad38-06abaf25ed5d', 'BAKSERVER2', False, False, '', '', 'BAKSERVER2', 'WORKGROUP', datetime.datetime(2019, 12, 26, 4, 16, 12, 400000), datetime.datetime(2019, 12, 26, 4, 16, 12, 400000), None, None, None, 4, 1, 0, 0, 0, 2, 3221225682, 0, False, 0, 0, 0, 0, '', 0, 0, 0, 0, None, False, 0, False, None, False, 0, None, None, None, 1440, False, 0, 0)
(27, 'e69b88f9-5524-4eb5-b288-d40cfb59c0bb', 'XXK_WANGXIN', False, False, 'xxk_wangxin', '', 'XXK_WANGXIN', 'WORKGROUP', datetime.datetime(2019, 12, 26, 4, 16, 12, 400000), datetime.datetime(2019, 12, 26, 4, 16, 12, 400000), None, datetime.datetime(2019, 12, 24, 3, 7, 26), None, 0, 0, 6, 1, 69635, 2, 3221225500, 0, False, 0, 0, 0, 0, '', 0, 1, 0, 2, None, False, 2814766969454592, False, datetime.datetime(2019, 12, 23, 21, 0, 18), False, 0, None, None, None, 47, False, 2, 0)
(29, 'dfe04056-28f4-4e25-9809-41761f5cec14', 'SMPDB', False, False, '', '', 'SMPDB', 'WORKGROUP', datetime.datetime(2019, 12, 26, 4, 16, 12, 400000), datetime.datetime(2019, 12, 26, 4, 16, 12, 400000), None, None, None, 4, 1, 0, 0, 0, 2, 3221225567, 0, False, 0, 0, 0, 0, 'SMPDB', 0, 0, 0, 0, None, False, 0, False, None, False, 0, None, None, None, 1440, False, 0, 0)
(35, '224b5a20-2779-4ffd-80f4-c799e09ddd3e', '放射科', False, False, '', '', '放射科', 'WORKGROUP', datetime.datetime(2019, 12, 26, 4, 16, 12, 400000), datetime.datetime(2019, 12, 26, 4, 16, 12, 400000), None, None, None, 4, 0, 0, 0, 0, 2, None, 0, False, 0, 0, 0, 0, '', 0, 0, 0, 0, None, False, 0, False, None, False, 0, None, None, None, 1440, False, 0, 0)
(36, 'ed229cd0-b882-494f-8345-ca91ecca9b45', 'CONSOLE1', False, False, '', '', 'CONSOLE1', 'WORKGROUP', datetime.datetime(2019, 12, 26, 4, 16, 12, 400000), datetime.datetime(2019, 12, 26, 4, 16, 12, 400000), None, None, None, 4, 1, 0, 0, 0, 2, 3221225563, 0, False, 0, 0, 0, 0, 'Console1', 0, 0, 0, 0, None, False, 0, False, None, False, 0, None, None, None, 1440, False, 0, 0)
(37, '378e2e92-d1f1-46a9-9182-ab7563a2aa6d', 'FSK159', False, False, '', '', 'FSK159', 'WORKGROUP', datetime.datetime(2019, 12, 26, 4, 16, 12, 400000), datetime.datetime(2019, 12, 26, 4, 16, 12, 400000), None, None, None, 4, 1, 0, 0, 0, 2, 3221225631, 0, False, 0, 0, 0, 0, '', 0, 0, 0, 0, None, False, 0, False, None, False, 0, None, None, None, 1440, False, 0, 0)
(40, '88cd12b3-f594-462b-847d-5f2cd30bf6de', '放射科27', False, False, '', '', '放射科27', 'WORKGROUP', datetime.datetime(2019, 12, 26, 4, 16, 12, 400000), datetime.datetime(2019, 12, 26, 4, 16, 12, 400000), None, None, None, 4, 0, 0, 0, 0, 2, None, 0, False, 0, 0, 0, 0, '', 0, 0, 0, 0, None, False, 0, False, None, False, 0, None, None, None, 1440, False, 0, 0)
(41, '7be61b45-42ff-45c0-9092-af801f018bb0', 'FSK174', False, False, '', '', 'FSK174', 'WORKGROUP', datetime.datetime(2019, 12, 26, 4, 16, 12, 400000), datetime.datetime(2019, 12, 26, 4, 16, 12, 400000), None, None, None, 4, 1, 0, 0, 0, 2, 3221225646, 0, False, 0, 0, 0, 0, '', 0, 0, 0, 0, None, False, 0, False, None, False, 0, None, None, None, 1440, False, 0, 0)
(43, '22886ce8-394f-4204-9960-f8e73e6b6c6b', '检验科配血', False, False, '', '', '检验科配血', 'WORKGROUP', datetime.datetime(2019, 12, 26, 4, 16, 12, 400000), datetime.datetime(2019, 12, 26, 4, 16, 12, 400000), None, None, None, 4, 0, 0, 0, 0, 2, None, 0, False, 0, 0, 0, 0, '', 0, 0, 0, 0, None, False, 0, False, None, False, 0, None, None, None, 1440, False, 0, 0)
(44, '2ca0923b-badb-4b06-9b17-ea02af2c567a', 'CWNEWSERVER', False, False, '', '', 'CWNEWSERVER', 'WORKGROUP', datetime.datetime(2019, 12, 26, 4, 16, 12, 400000), datetime.datetime(2019, 12, 26, 4, 16, 12, 400000), None, None, None, 4, 1, 0, 0, 0, 2, 3221225491, 0, False, 0, 0, 0, 0, '', 0, 0, 0, 0, None, False, 0, False, None, False, 0, None, None, None, 1440, False, 0, 0)
(45, '9bc36237-b0a3-482e-a622-234c88666e14', 'SMPDCM1', False, False, '', '', 'SMPDCM1', 'WORKGROUP', datetime.datetime(2019, 12, 26, 4, 16, 12, 400000), datetime.datetime(2019, 12, 26, 4, 16, 12, 400000), None, None, None, 4, 1, 0, 0, 0, 2, 3221225589, 0, False, 0, 0, 0, 0, 'SMPDCM1', 0, 0, 0, 0, None, False, 0, False, None, False, 0, None, None, None, 1440, False, 0, 0)
(48, 'ab86be0b-4850-4d42-b583-8ab96279b51b', 'MS-20171122HXPE', False, False, '', '', 'MS-20171122HXPE', 'WORKGROUP', datetime.datetime(2019, 12, 26, 4, 16, 12, 400000), datetime.datetime(2019, 12, 26, 4, 16, 12, 400000), None, None, None, 4, 0, 0, 0, 0, 2, 3221225560, 0, False, 0, 0, 0, 0, '', 0, 0, 0, 0, None, False, 0, False, None, False, 0, None, None, None, 1440, False, 0, 0)
(50, '1dea9d68-5790-4dd8-b0a0-918f3d7689a7', 'IMAGER-IPC', False, False, '', '', 'IMAGER-IPC', 'WORKGROUP', datetime.datetime(2019, 12, 26, 4, 16, 12, 400000), datetime.datetime(2019, 12, 26, 4, 16, 12, 400000), None, None, None, 4, 1, 0, 0, 0, 2, 3221225605, 0, False, 0, 0, 0, 0, '', 0, 0, 0, 0, None, False, 0, False, None, False, 0, None, None, None, 1440, False, 0, 0)
(53, '04311024-716c-495f-a47d-70bff52bf616', 'CTAWP95631', False, False, '', '', 'CTAWP95631', 'WORKGROUP', datetime.datetime(2019, 12, 26, 4, 16, 12, 400000), datetime.datetime(2019, 12, 26, 4, 16, 12, 400000), None, None, None, 4, 1, 0, 0, 0, 2, 3221225637, 0, False, 0, 0, 0, 0, '', 0, 0, 0, 0, None, False, 0, False, None, False, 0, None, None, None, 1440, False, 0, 0)
(60, '1bd3add8-3184-450f-9da2-5cf8ad237a6c', 'LENOVO-EBA83118', False, False, '', '', 'LENOVO-EBA83118', 'WORKGROUP', datetime.datetime(2019, 12, 26, 4, 16, 12, 400000), datetime.datetime(2019, 12, 26, 4, 16, 12, 400000), None, None, None, 4, 1, 0, 0, 0, 2, 3221225478, 0, False, 0, 0, 0, 0, '', 0, 0, 0, 0, None, False, 0, False, None, False, 0, None, None, None, 1440, False, 0, 0)
(70, '3633a18f-d1b1-413e-989a-6d59d38b7f9a', 'CCYYHISCENTER', False, False, '', '', 'CCYYHISCENTER', 'CCYY', datetime.datetime(2019, 12, 26, 4, 16, 12, 400000), datetime.datetime(2019, 12, 26, 4, 16, 12, 400000), None, None, None, 5, 1, 0, 0, 0, 2, 3221225525, 0, False, 0, 0, 0, 0, '', 0, 0, 0, 0, None, False, 0, False, None, False, 0, None, None, None, 1440, False, 0, 0)
(71, '81ead1dc-a37d-4454-a72c-75a89b423414', 'CCYYHISDATA', False, False, '', '', 'CCYYHISDATA', 'CCYY', datetime.datetime(2019, 12, 26, 4, 16, 12, 400000), datetime.datetime(2019, 12, 26, 4, 16, 12, 400000), None, None, None, 5, 1, 0, 0, 0, 2, 3221225534, 0, False, 0, 0, 0, 0, '', 0, 0, 0, 0, None, False, 0, False, None, False, 0, None, None, None, 1440, False, 0, 0)
(72, 'eafb22a4-fcbb-4c37-8d78-5fdd9ee0950a', 'CCYYHISSERVER56', False, False, '', '', 'CCYYHISSERVER56', 'CCYY', datetime.datetime(2019, 12, 26, 4, 16, 12, 400000), datetime.datetime(2019, 12, 26, 4, 16, 12, 400000), None, None, None, 5, 1, 0, 0, 0, 2, 3221225695, 0, False, 0, 0, 0, 0, '', 0, 0, 0, 0, None, False, 0, False, None, False, 0, None, None, None, 1440, False, 0, 0)
(73, '98cff367-9754-48ee-8e44-6c855301a732', 'LISSERVER59', False, False, '', '', 'LISSERVER59', 'CCYY', datetime.datetime(2019, 12, 26, 4, 16, 12, 400000), datetime.datetime(2019, 12, 26, 4, 16, 12, 400000), None, None, None, 5, 1, 0, 0, 0, 2, 3221225531, 0, False, 0, 0, 0, 0, '', 0, 0, 0, 0, None, False, 0, False, None, False, 0, None, None, None, 1440, False, 0, 0)
(74, '38fc4690-ffaf-45ba-b6b3-bb50e94b57c4', 'CCYYHISSERVER6', False, False, '', '', 'CCYYHISSERVER6', 'CCYY', datetime.datetime(2019, 12, 26, 4, 16, 12, 400000), datetime.datetime(2019, 12, 26, 4, 16, 12, 400000), None, None, None, 5, 1, 0, 0, 0, 2, 3221225528, 0, False, 0, 0, 0, 0, '', 0, 0, 0, 0, None, False, 0, False, None, False, 0, None, None, None, 1440, False, 0, 0)
(75, 'b3557693-565d-4aa9-a536-ec8c836f8bce', 'CCYYHISSERVER61', False, False, '', '', 'CCYYHISSERVER61', 'CCYY', datetime.datetime(2019, 12, 26, 4, 16, 12, 400000), datetime.datetime(2019, 12, 26, 4, 16, 12, 400000), None, None, None, 5, 1, 0, 0, 0, 2, 3221225530, 0, False, 0, 0, 0, 0, '', 0, 0, 0, 0, None, False, 0, False, None, False, 0, None, None, None, 1440, False, 0, 0)
(80, '65cdb071-e6d7-44c6-8d7f-3cd139e7c273', 'CCYYOLDHIS60', False, False, '', '', 'CCYYOLDHIS60', 'CCYY', datetime.datetime(2019, 12, 26, 4, 16, 12, 400000), datetime.datetime(2019, 12, 26, 4, 16, 12, 400000), None, None, None, 5, 1, 0, 0, 0, 2, 3221225532, 0, False, 0, 0, 0, 0, '', 0, 0, 0, 0, None, False, 0, False, None, False, 0, None, None, None, 1440, False, 0, 0)
(84, 'f862ce90-4917-431a-8d31-83553b62fce1', 'MS-20180516MKGG', False, False, '', '', 'MS-20180516MKGG', 'WORKGROUP', datetime.datetime(2019, 12, 26, 4, 16, 12, 400000), datetime.datetime(2019, 12, 26, 4, 16, 12, 400000), None, None, None, 4, 1, 0, 0, 0, 2, 3221225553, 0, False, 0, 0, 0, 0, '', 0, 0, 0, 0, None, False, 0, False, None, False, 0, None, None, None, 1440, False, 0, 0)
(85, 'ababc11e-78e7-46e6-b5c1-0f300fa2f4ad', 'COMPANY-8D8608A', False, False, '', '', 'COMPANY-8D8608A', 'WORKGROUP', datetime.datetime(2019, 12, 26, 4, 16, 12, 400000), datetime.datetime(2019, 12, 26, 4, 16, 12, 400000), None, None, None, 4, 1, 0, 0, 0, 2, 3221225638, 0, False, 0, 0, 0, 0, '', 0, 0, 0, 0, None, False, 0, False, None, False, 0, None, None, None, 1440, False, 0, 0)
(86, 'f0fed338-67e7-4467-a57d-70671d264cbf', 'CXDI-55G', False, False, '', '', 'CXDI-55G', 'WORKGROUP', datetime.datetime(2019, 12, 26, 4, 16, 12, 400000), datetime.datetime(2019, 12, 26, 4, 16, 12, 400000), None, None, None, 4, 1, 0, 0, 0, 2, 3221225613, 0, False, 0, 0, 0, 0, '', 0, 0, 0, 0, None, False, 0, False, None, False, 0, None, None, None, 1440, False, 0, 0)
(90, '20b5af9c-f636-403e-af99-aa53f18346c4', '发热门诊121', False, False, '', '', '发热门诊121', 'WORKGROUP', datetime.datetime(2019, 12, 26, 4, 16, 12, 400000), datetime.datetime(2019, 12, 26, 4, 16, 12, 400000), None, None, None, 4, 0, 0, 0, 0, 2, None, 0, False, 0, 0, 0, 0, '', 0, 0, 0, 0, None, False, 0, False, None, False, 0, None, None, None, 1440, False, 0, 0)
(92, '077e9722-e8ba-4f82-b494-d7f616bcce2c', 'KAOSU-PC', False, False, '', '', 'KAOSU-PC', 'WORKGROUP', datetime.datetime(2019, 12, 26, 4, 16, 12, 400000), datetime.datetime(2019, 12, 26, 4, 16, 12, 400000), None, None, None, 4, 0, 0, 0, 0, 2, 3221225559, 0, False, 0, 0, 0, 0, '', 0, 0, 0, 0, None, False, 0, False, None, False, 0, None, None, None, 1440, False, 0, 0)
(93, 'efd77237-34fa-4f46-adc8-0078e1bad9be', 'KF', False, False, '', '', 'KF', 'WORKGROUP', datetime.datetime(2019, 12, 26, 4, 16, 12, 400000), datetime.datetime(2019, 12, 26, 4, 16, 12, 400000), None, None, None, 4, 1, 0, 0, 0, 2, 3221225588, 0, False, 0, 0, 0, 0, '', 0, 0, 0, 0, None, False, 0, False, None, False, 0, None, None, None, 1440, False, 0, 0)
(94, '5f3c7534-81c2-4e5d-b8f1-27216e2087dd', 'PC-201711300858', False, False, '', '', 'PC-201711300858', 'WORKGROUP', datetime.datetime(2019, 12, 26, 4, 16, 12, 400000), datetime.datetime(2019, 12, 26, 4, 16, 12, 400000), None, None, None, 4, 1, 0, 0, 0, 2, 3221225632, 0, False, 0, 0, 0, 0, '', 0, 0, 0, 0, None, False, 0, False, None, False, 0, None, None, None, 1440, False, 0, 0)
(95, '40d590c0-d1c8-4db8-af61-ee9c4c7ba923', 'DESKTOP-KBA27DK', False, False, '', '', 'DESKTOP-KBA27DK', 'WORKGROUP', datetime.datetime(2019, 12, 26, 4, 16, 12, 400000), datetime.datetime(2019, 12, 26, 4, 16, 12, 400000), None, None, None, 4, 1, 0, 0, 0, 2, 3221225560, 0, False, 0, 0, 0, 0, '', 0, 0, 0, 0, None, False, 0, False, None, False, 0, None, None, None, 1440, False, 0, 0)
